parameter_name,Sacral processes
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,IMPC_XRY_066_001
analysis_id,b7r8028dz5aerdc
pvalue,0.8716011
mouse_life_stage,E18.5
mouse_strain,C57BL
