analysis_id,2991565b94u129d
parameter_id,IMPC_OFD_020_001
gene_symbol,Nr0b2
parameter_name,Distance travelled - total
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
pvalue,0.6267247
mouse_strain,B6J
