gene_symbol,Zc2hc1a
analysis_id,9x60ge851af9i49
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
parameter_id,MGP_IMM_130_001
pvalue,0.2812099
