parameter_name,Lean/Body weight
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_id,IMPC_DXA_008_001
mouse_strain,C57BL
pvalue,0.4062897
mouse_life_stage,Early adult
analysis_id,q5786ceq7145c7y
