analysis_id,4e19bc7527514c2
gene_accession_id,MGI:1927232
gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.7568478
mouse_strain,C57BL
