parameter_id,IMPC_DXA_003_001
parameter_name,Lean mass
mouse_life_stage,Early adult
pvalue,0.5613079
gene_symbol,Pum1
analysis_id,59d540774c28m8k
mouse_strain,C57BL
gene_accession_id,MGI:1931749
