mouse_strain,129SV
parameter_id,MGP_MLN_071_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
analysis_id,05eul4o252r7s0o
pvalue,0.8940203
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
