analysis_id,2891o9jofacsy10
gene_symbol,Mecom
mouse_strain,C57BL
gene_accession_id,MGI:95457
pvalue,0.8370978
parameter_name,Snout morphology
mouse_life_stage,E15.5
parameter_id,MGP_CSD_066_001
