gene_symbol,Exd1
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
pvalue,0.3671214
analysis_id,74qizu91j54580q
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
