gene_symbol,Ddx27
parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.9286665
analysis_id,g9c2r1ish4v6553
