parameter_name,Neutrophil cell count
gene_symbol,Dmap1
mouse_life_stage,Early adult
pvalue,0.3719928
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,y43gjc2w5593o72
