analysis_id,pw0535p70n8xkdl
gene_symbol,Rufy4
mouse_strain,C57BL
gene_accession_id,MGI:3588214
parameter_id,ESLIM_005_001_005
pvalue,0.05579739
parameter_name,Bone Mineral Content
mouse_life_stage,Early adult
