analysis_id,tn0t11w1z9j461m
gene_symbol,Stk35
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
mouse_strain,C57BL
pvalue,0.8523382
gene_accession_id,MGI:1914583
