analysis_id,32tv1q7eg4v69e5
mouse_strain,C57BL
pvalue,0.1883212
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
parameter_name,Snout size
