gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Basophil differential count
gene_accession_id,MGI:1914556
analysis_id,81sh7sds30ev6qc
pvalue,0.05630923
parameter_id,IMPC_HEM_038_001
