analysis_id,a18r16ojb9fc5t3
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:99605
mouse_strain,129SV
pvalue,0.610525
gene_symbol,Cntfr
mouse_life_stage,Early adult
