gene_symbol,Atg4c
pvalue,0.6640881
parameter_name,Skull shape
analysis_id,07oea4sm5np0178
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
