parameter_name,Vocalization
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
pvalue,0.2700436
gene_symbol,Lpgat1
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
analysis_id,9xc666ad7b15m5w
