analysis_id,112025c251k9463
gene_symbol,Slc28a2
pvalue,0.2064762
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
mouse_strain,C57BL
