parameter_name,Eosinophil cell count
parameter_id,IMPC_HEM_036_001
mouse_strain,C57BL
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
pvalue,0.9043154
analysis_id,0j85lo623tu91o5
mouse_life_stage,Early adult
