analysis_id,375092w098247vs
parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
pvalue,0
gene_accession_id,MGI:1914061
mouse_strain,C57BL
gene_symbol,Duoxa2
