analysis_id,uge21o3u1ljx2jh
parameter_id,IMPC_XRY_024_001
gene_accession_id,MGI:1931749
pvalue,0.5724553
gene_symbol,Pum1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Femur
