analysis_id,r65348zn79xni62
gene_accession_id,MGI:1921802
parameter_name,Weight
mouse_strain,129SV
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
gene_symbol,Nipal3
pvalue,0.8360262
