parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Arpc5l
mouse_strain,C57BL
pvalue,0.5461084
parameter_id,IMPC_EYE_026_001
analysis_id,2x2613y494g45kx
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
