parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
pvalue,0.8722189
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
analysis_id,us4qz41n8olq72r
