parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6024816
analysis_id,e637a6m6tf898t4
gene_accession_id,MGI:103302
gene_symbol,Bmp7
parameter_id,IMPC_GEL_063_001
