parameter_name,Weight
analysis_id,yn05ztdkpd84dlo
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3228354
parameter_id,CCP_LFO_001_001
