gene_symbol,Gbp7
mouse_life_stage,Early adult
analysis_id,9446ompfa7t0a65
gene_accession_id,MGI:2444421
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
mouse_strain,C54BL
pvalue,0.401889
