gene_symbol,Hspa5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Number of rears - total
parameter_id,IMPC_OFD_021_001
pvalue,0.8172865
analysis_id,u8vp721ozi407bx
