analysis_id,9976o08b1kpm845
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
parameter_id,JAX_SLW_013_001
pvalue,0.8279496
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
mouse_life_stage,Early adult
