gene_symbol,Bpifa3
parameter_name,Facial Morphology
mouse_strain,C57BL
analysis_id,0g6pd0152a3lv7r
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
pvalue,0.4552178
