gene_symbol,Fgb
parameter_id,IMPC_IMM_032_001
analysis_id,08j1wzu38f37p13
gene_accession_id,MGI:99501
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.2992171
mouse_life_stage,E15.5
mouse_strain,C57BL
