analysis_id,40p9fr6lyt3p82y
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
pvalue,0.4835904
mouse_life_stage,Early adult
