parameter_name,Spleen weight
mouse_strain,C57BL
pvalue,0.3560119
mouse_life_stage,Early adult
gene_symbol,Psd4
parameter_id,UCD_OWT_003_001
analysis_id,2of8g0b7mt5r1la
gene_accession_id,MGI:2674093
