analysis_id,056fhu43f38v6qd
gene_symbol,FRMPD1
pvalue,0.2025323
parameter_name,RR
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:2446274
mouse_strain,C57BL
