parameter_name,Center distance travelled
analysis_id,u1r80tvfs01gu67
gene_accession_id,MGI:1914256
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cisd2
pvalue,0.8790544
