parameter_name,Limb grasp
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.4719026
parameter_id,JAXLA_CSD_039_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,rbppd2ri5yla7eq
