analysis_id,dz91jm97z663bh2
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
pvalue,0.3652041
