analysis_id,314z6647r4a09e2
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Col6a3
parameter_id,MGP_MLN_033_001
pvalue,0.6911478
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
