analysis_id,t4w5d370wt63k1r
mouse_strain,C57BL
parameter_name,Glucose response AUC
pvalue,0.00361837
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_id,ESLIM_004_001_701
gene_symbol,Cisd2
