gene_symbol,Ivd
analysis_id,3pi6cam57tfp934
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
pvalue,0.7180516
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
