gene_symbol,Lamb3
pvalue,0.5397823
parameter_id,MGP_IMM_007_001
mouse_strain,C57BL
analysis_id,91pr54a8x16zr0t
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
