analysis_id,m89341o76q2q7p9
pvalue,0.2224991
gene_symbol,Stk35
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
