gene_symbol,Ivd
analysis_id,069980v37k01e7y
gene_accession_id,MGI:1929242
pvalue,0.5112956
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
