gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
pvalue,0.2353135
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
analysis_id,yg5yz326p6j086y
parameter_name,Ventral coat/hair presence
mouse_life_stage,Early adult
