gene_symbol,Rab22a
pvalue,0.3915854
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
parameter_name,Lumbar processes
gene_accession_id,MGI:105072
analysis_id,7pwcx33h81n6rk7
