analysis_id,2i8r290q908412m
mouse_strain,C57BL
pvalue,0.5345712
gene_symbol,Zc2hc1a
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
parameter_name,Transitional 1 B cells - % of CD45+
