parameter_name,Center permanence time
mouse_strain,C57BL
analysis_id,p99j52tc6137ahg
pvalue,0.08967955
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
