mouse_strain,C3H
pvalue,0.1659425
gene_symbol,Mecom
mouse_life_stage,Early adult
analysis_id,hs2t2nbx37j93g9
gene_accession_id,MGI:95457
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
