analysis_id,j59o1j91r06f179
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
pvalue,0.3169106
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
