gene_symbol,AU040320
analysis_id,dx3kn7oc77p9yy7
parameter_name,Number of rears - total
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.8810927
parameter_id,JAX_OFD_021_001
