analysis_id,56pko9b2x487p32
mouse_life_stage,Early adult
parameter_name,Total cholesterol
pvalue,0.6593804
gene_accession_id,MGI:2181659
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
gene_symbol,Tox
