parameter_name,Body length
mouse_strain,C57BL
analysis_id,36i0s17gex8aa84
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_id,IMPC_DXA_006_001
mouse_life_stage,Early adult
pvalue,0.1579116
