analysis_id,5ye5qku38i321iy
gene_accession_id,MGI:1914944
pvalue,0.9307366
mouse_strain,C57BL
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
gene_symbol,Ift74
