parameter_name,Cornea
mouse_strain,C57BL
gene_symbol,Rab3gap2
analysis_id,h391k7m65vki0na
pvalue,0.9156967
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_id,IMPC_EYE_007_001
