parameter_name,White blood cell-count
pvalue,0.5566791
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:2442483
mouse_strain,C57BL
gene_symbol,Usp37
analysis_id,x09i2oy11mu6uv8
mouse_life_stage,Early adult
