gene_symbol,Steap3
mouse_strain,C57BL
pvalue,0.7969296
mouse_life_stage,Early adult
analysis_id,6111lq7vkdc9fyv
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:1915678
