gene_symbol,Stk35
parameter_id,IMPC_CBC_001_001
parameter_name,Sodium
pvalue,0.2216232
gene_accession_id,MGI:1914583
analysis_id,n84q9y456991wvp
mouse_life_stage,Early adult
mouse_strain,C57BL
