analysis_id,pr4a922gd7019qg
parameter_name,Narrow eye opening
gene_symbol,Slc30a4
mouse_life_stage,Late adult
pvalue,0.8132132
gene_accession_id,MGI:1345282
mouse_strain,C55BL
parameter_id,IMPC_EYE_006_001
