analysis_id,3537pcc15scsg26
pvalue,0.1042665
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_name,Upper teeth appearance
gene_accession_id,MGI:97838
parameter_id,IMPC_CSD_069_001
mouse_life_stage,E12.5
