analysis_id,37ce2uc13lo43gb
mouse_life_stage,Early adult
pvalue,0.826593
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
gene_accession_id,MGI:88461
gene_symbol,Col6a3
