analysis_id,d1s5u8g351cmc4y
gene_accession_id,MGI:2444114
parameter_id,IMPC_ABR_012_001
pvalue,0.4394328
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Zcchc2
