analysis_id,uwv82l2r08n9h04
mouse_strain,C57BL
parameter_name,Periphery average speed
pvalue,0.07763406
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
mouse_life_stage,Early adult
