analysis_id,w260814b4fq6h76
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
pvalue,0.3006841
mouse_life_stage,E12.5
gene_symbol,Dmap1
